Date,Open,High,Low,Close,Adj Close,Volume,Symbol
"Jun 01, 2021",504.01,536.13,482.14,528.21,528.21,"78,560,600",NETFLIX
"May 01, 2021",512.65,518.95,478.54,502.81,502.81,"66,927,600",NETFLIX
"Apr 01, 2021",529.93,563.56,499.00,513.47,513.47,"111,573,300",NETFLIX
"Mar 01, 2021",545.57,556.99,492.85,521.66,521.66,"90,183,900",NETFLIX
"Feb 01, 2021",536.79,566.65,518.28,538.85,538.85,"61,902,300",NETFLIX
"Jan 01, 2021",539.00,593.29,485.67,532.39,532.39,"139,988,600",NETFLIX
"Dec 01, 2020",492.34,545.50,491.29,540.73,540.73,"77,564,100",NETFLIX
"Nov 01, 2020",478.87,518.73,463.41,490.70,490.70,"91,788,900",NETFLIX
"Oct 01, 2020",506.03,572.49,472.21,475.74,475.74,"154,302,400",NETFLIX
"Sep 01, 2020",532.60,557.39,458.60,500.03,500.03,"118,796,900",NETFLIX
"Aug 01, 2020",490.86,549.04,466.55,529.56,529.56,"116,261,900",NETFLIX
"Jul 01, 2020",454.00,575.37,454.00,488.88,488.88,"232,206,300",NETFLIX
"Jun 01, 2020",418.83,474.01,404.25,455.04,455.04,"117,279,900",NETFLIX
"May 01, 2020",415.10,458.97,397.86,419.73,419.73,"135,055,800",NETFLIX
"Apr 01, 2020",376.05,449.52,357.51,419.85,419.85,"225,111,600",NETFLIX
"Mar 01, 2020",373.11,393.52,290.25,375.50,375.50,"201,979,100",NETFLIX
"Feb 01, 2020",347.24,392.95,346.28,369.03,369.03,"114,056,000",NETFLIX
"Jan 01, 2020",326.10,359.85,321.20,345.09,345.09,"169,874,000",NETFLIX
"Dec 01, 2019",314.39,338.00,292.02,323.57,323.57,"124,723,600",NETFLIX
"Nov 01, 2019",288.70,316.82,281.14,314.66,314.66,"113,645,900",NETFLIX
"Oct 01, 2019",267.35,308.75,257.01,287.41,287.41,"231,556,400",NETFLIX
"Sep 01, 2019",290.82,301.55,252.28,267.62,267.62,"175,411,300",NETFLIX
"Aug 01, 2019",324.25,328.58,287.20,293.75,293.75,"137,076,700",NETFLIX
"Jul 01, 2019",373.50,384.76,305.81,322.99,322.99,"196,652,500",NETFLIX
"Jun 01, 2019",343.56,375.00,332.65,367.32,367.32,"111,052,000",NETFLIX
"May 01, 2019",374.00,385.99,341.39,343.28,343.28,"125,298,300",NETFLIX
"Apr 01, 2019",359.00,384.80,342.27,370.54,370.54,"165,079,400",NETFLIX
"Mar 01, 2019",362.26,379.00,342.47,356.56,356.56,"144,843,100",NETFLIX
"Feb 01, 2019",337.18,371.49,336.50,358.10,358.10,"148,192,100",NETFLIX
"Jan 01, 2019",259.28,358.85,256.58,339.50,339.50,"306,616,400",NETFLIX
"Dec 01, 2018",293.19,298.72,231.23,267.66,267.66,"234,310,000",NETFLIX
"Nov 01, 2018",304.59,332.05,250.00,286.13,286.13,"257,126,400",NETFLIX
"Oct 01, 2018",375.85,386.80,271.21,301.78,301.78,"363,589,800",NETFLIX
"Sep 01, 2018",366.47,383.20,335.83,374.13,374.13,"170,832,100",NETFLIX
"Aug 01, 2018",335.87,376.81,310.93,367.68,367.68,"213,122,300",NETFLIX
"Jul 01, 2018",385.45,419.77,328.00,337.45,337.45,"305,393,800",NETFLIX
"Jun 01, 2018",353.88,423.21,352.82,391.43,391.43,"244,031,800",NETFLIX
"May 01, 2018",310.36,356.10,305.73,351.60,351.60,"142,050,800",NETFLIX
"Apr 01, 2018",291.94,338.82,271.22,312.46,312.46,"262,006,000",NETFLIX
"Mar 01, 2018",292.75,333.98,275.90,295.35,295.35,"263,449,400",NETFLIX
"Feb 01, 2018",266.41,297.36,236.11,291.38,291.38,"184,585,800",NETFLIX
"Jan 01, 2018",196.10,286.81,195.42,270.30,270.30,"238,377,600",NETFLIX
"Dec 01, 2017",186.99,194.49,178.38,191.96,191.96,"115,103,700",NETFLIX
"Nov 01, 2017",197.24,202.48,184.32,187.58,187.58,"110,996,600",NETFLIX
"Oct 01, 2017",182.11,204.38,176.58,196.43,196.43,"208,657,800",NETFLIX
"Sep 01, 2017",175.55,189.95,172.44,181.35,181.35,"111,427,900",NETFLIX
"Aug 01, 2017",182.49,184.62,164.23,174.71,174.71,"136,534,400",NETFLIX
"Jul 01, 2017",149.80,191.50,144.25,181.66,181.66,"185,144,700",NETFLIX
"Jun 01, 2017",163.52,166.87,147.30,149.41,149.41,"135,699,700",NETFLIX
"May 01, 2017",151.91,164.75,151.61,163.07,163.07,"116,795,800",NETFLIX
"Apr 01, 2017",146.70,153.52,138.66,152.20,152.20,"149,779,000",NETFLIX
"Mar 01, 2017",142.84,148.29,138.26,147.81,147.81,"110,692,700",NETFLIX
"Feb 01, 2017",141.20,145.95,139.05,142.13,142.13,"91,444,800",NETFLIX
"Jan 01, 2017",124.96,143.46,124.31,140.71,140.71,"181,814,100",NETFLIX
"Dec 01, 2016",117.52,129.07,113.95,123.80,123.80,"128,528,700",NETFLIX
